k,train_years,test_year,n_train,n_test,adj_rand,pitcher
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,9691,3119,0.621,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,12810,1114,0.639,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,13924,3025,0.509,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,16949,2163,0.561,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,19112,2516,0.661,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21628,612,0.547,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22240,1561,0.602,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1683,2573,0.425,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4256,3141,0.456,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7397,3228,0.523,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10625,1067,0.353,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11692,2887,0.395,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14579,3383,0.346,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17962,3346,0.396,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21308,3192,0.408,"Nola, Aaron"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,24500,1504,0.37,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1683,2573,0.319,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4256,3141,0.774,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7397,3228,0.778,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10625,1067,0.684,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11692,2887,0.597,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14579,3383,0.523,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17962,3346,0.551,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21308,3192,0.524,"Nola, Aaron"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,24500,1504,0.522,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1683,2573,0.624,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4256,3141,0.682,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7397,3228,0.766,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10625,1067,0.681,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11692,2887,0.605,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14579,3383,0.517,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17962,3346,0.507,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21308,3192,0.473,"Nola, Aaron"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,24500,1504,0.562,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4256,3141,0.542,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7397,3228,0.662,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10625,1067,0.662,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11692,2887,0.565,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14579,3383,0.498,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17962,3346,0.585,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21308,3192,0.489,"Nola, Aaron"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,24500,1504,0.558,"Nola, Aaron"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14579,3383,0.473,"Nola, Aaron"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17962,3346,0.52,"Nola, Aaron"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21308,3192,0.547,"Nola, Aaron"
